UI_SYSTEMCURSOR "System cursor"
INTRO_SPEECH_1	"I don't fear ghosts..."
INCA_GUARD_RITUAL4	"You have caused great suffering to your people."
INCA_GUARD_RITUAL5	"You must now repent."
INCA_GUARD_RITUAL6	"You must now enter the temple to find the 4 great sorrows. Only then will you purify yourself!"
INCA_YUMANCO_HOWENTER	"How shall I enter the temple?
The door is closed!"

INCA_GUARD_RITUAL7	"Long have you abused the powers of Kapangya and oppressed the people."
INCA_GUARD_RITUAL8	"You will now put those powers to good use and purify yourself."
INCA_YUMANCO_STAIRSDARK	"Find a way to light the room."
INCA_YUMANCO_INCOMPLETE	It's incomplete... I must find more.
INCA_YUMANCO_NOTHERE	That won't work... I must look elsewhere.
INCA_YUMANCO_GOTALL	I have the four sorrows!
INCA_YUMANCO_DEATHPASSAGE	"Death row! I have condemned them by the thousands, and today it is my turn!"
INCA_YUMANCO_HOLE	"This wide hole is preventing me reaching my goal."
INCA_YUMANCO_MAKEFALL	"These stone blocks seem unstable."
INCA_YUMANCO_HOLEOK	"The hole has been filled and can be crossed."
INCA_YUMANCO_FRESCOMISS	"This fresco seems unfinished."
INCA_PRIEST_READY	"Almighty Gods!
Receive this sacrifice!"

INCA_YUMANCO_WHOISIT	"Priest!
Who do you sacrifice?"

INCA_PRIEST_INTY	"Yumanco!
I sacrifice Inty - it was your wish!"

INCA_YUMANCO_IDIDNT	"Inty! My wife!
I could never have wished that!
I would never have wanted her dead!"

INCA_PRIEST_YOUDID1	"Yet, Yumanco, it is you who killed her...
You slaughtered her tribe, the Atamayas!"

INCA_PRIEST_YOUDID2	"When she fled, tired of your violence,
she returned to her tribe... the one you gave orders to slaughter!"

INCA_YUMANCO_IMSAD1	"NO, STOP!
My rage blinded me. I regret my actions to the very depths of my soul."

INCA_YUMANCO_IMSAD2	"Save her this time, I beg you!"
INCA_PRIEST_NO1	"The sacrifice cannot be interrupted. It will be repeated forever. 
You are condemned to witness it for the rest of eternity. This is your punishment!"

INCA_PRIEST_NO2	"Only a sign from the Gods can end it!"
INCA_PRIEST_STOP1	"Kapangya! Kapangya!"
INCA_PRIEST_STOP2	"Is it your wish to save this victim?"
INCA_PRIEST_DIE1	"Yumanco..."
INCA_PRIEST_DIE2	"May the Gods one day forgive you!"
INCA_YUMANCO_INTY	"Inty! True love! I saved you!"
INCA_INTY_YOUKILLME	"No, in truth, you killed me... There's no going back."
INCA_YUMANCO_CRY	"I'm sorry! I mourn for you! It was all my fault!"
INCA_INTY_YOUCRY	"Yumanco, you mourn for me, yet so many others suffered from your cruelty."
INCA_INTY_YOURSOUL1	"Your soul is held prisoner. And only the all powerful can unshackle it."
INCA_INTY_YOURSOUL2	"Repent, and your punishment will be nullified."
INCA_YUMANCO_HOWSOUL	"But how do I repent? The harm is already done."
INCA_INTY_YOUCAN1	"If you really want to, you must sacrifice your power... sacrifice Kapangya!"
INCA_INTY_YOUCAN2	"Only then will you be free of your punishment and torment, and able to continue your spiritual journey."
INCA_PRIEST_WAITKAP	"I wait for Kapangya to be shrouded in the 4 sorrows!"
INCA_INTY_WAITKAP	"Have you pieced together the 4 sorrows of the sacrificed peoples?
Then sacrifice Kapangya!"

INCA_FINAL_SKY_INFO	"Respecting the wishes of the faithful, the clouds have disappeared and the sun has returned."
INCA_FINAL_YUMANCO_CANNOT	"I can't get close. The priest is waiting for a sign from the gods... I should use the statuette!"
MIDDLEAGE_MONK_ALREADY	That task is already done.
MIDDLEAGE_MONK_NEEDTOOL	I'd need a tool to cut this.
MIDDLEAGE_MONK_GATHERFAILED	Gasp!
MIDDLEAGE_WITCH_SOWHAT	So what?
MIDDLEAGE_WITCH_ASKPLATE	Did you find a plate? Show me...
MIDDLEAGE_WITCH_RHAAA	RHAAAAAA!
MIDDLEAGE_MONK_AFFRAID	You frightened me, witch!
MIDDLEAGE_WITCH_IMNOT	I'm no witch!
MIDDLEAGE_WITCH_LETMEHELP	I can help you cure the abbot.
MIDDLEAGE_MONK_POISON	You'll probably poison him!
MIDDLEAGE_WITCH_OPEN	Open your heart and you'll see that's not my aim.
MIDDLEAGE_WITCH_DIDYOUSAVE	Were you able to save him?
MIDDLEAGE_MONK_NOSAVE	No.
MIDDLEAGE_WITCH_BRINGMEPLATE	Then bring me a plate, and I will help you prepare a cure.
MIDDLEAGE_MONK_TRUSTHER	I shall try to trust her this time.
MIDDLEAGE_WITCH_SETPLATE	"Perfect.
Put the plate in front of me."

MIDDLEAGE_WITCH_NOTSUITABLE	That's not what I want!
MIDDLEAGE_JAIL_PLATEZONE_INFO	Put something here.
MIDDLEAGE_WITCH_ASKPLANT1	"Its bud is like a snake's head!
Bring me this plant."

MIDDLEAGE_WITCH_ASKPLANT2	"Its leaf is like a fan!
Bring me this plant."

MIDDLEAGE_WITCH_ASKPLANT3	"Its flower is white but foul-smelling!
Bring me this plant."

MIDDLEAGE_WITCH_ASKPLANT4	"Death is its garden!
Bring me this plant."

MIDDLEAGE_WITCH_WHATAREU	What are you doing?!
MIDDLEAGE_MONK_EMPTYPLATE	"A wooden plate.
Here's where I put the plate she is asking for."

MIDDLEAGE_MONK_CONTENTPLATE	"The remedy is not yet ready."
MIDDLEAGE_WITCH_PUTINPLATE	Well done! Put that on the plate!
MIDDLEAGE_WITCH_PREPARE	"Good! Now use a pestle
and follow my instructions carefully..."

MIDDLEAGE_WITCH_WELLDONE	Well done!
MIDDLEAGE_MONK_NEEDSHAPE	It won't fit. It needs reshaping.
MIDDLEAGE_WITCH_ASKCONTENT	Give me the remedy!
MIDDLEAGE_WITCH_ASKFLASK	Bring me an empty flask!
MIDDLEAGE_WITCH_ASKCAP		The flask needs a cork!
MIDDLEAGE_WITCH_GONOW	"Here's the cure!
The abbot must drink it now. Go!"

MIDDLEAGE_ABBOT_DYING	I think I'm dying... help me!
MIDDLEAGE_ABBOT_NOGOOD	Ahhhhrg! This was supposed to cure me?!
MIDDLEAGE_ABBOT_TREAT	Yes... I'm better now!
MIDDLEAGE_ABBOT_EPILOG1	"Brother Guillem, you overcame your prejudices and were able to trust this woman."
MIDDLEAGE_ABBOT_EPILOG2	"As you see, she was not a witch but a herbalist. She had a cure to save my life..."
MIDDLEAGE_MONK_EPILOG1	"My sorrow overwhelms me, my dear abbot! My intolerance cost you your life."
MIDDLEAGE_ABBOT_EPILOG4	"Be pardoned - a pardon is a measure of fairness and hope. Now you may continue on your road to our creator... goodbye."
ATTICDOOR_5STONE	Get the 5 stones
mo_house_atticdoor_door_idle	Attic door
mo_house_atticdoor_door_active	Attic door
HOUSE_ATTICDOOR_DOORIDLE_INFO	"Locked. You can just make out a pentagram on it."
HOUSE_ATTICDOOR_DOORON_INFO	"The pentagram is lit up and extremely hot."
HOUSE_ATTIC_PENTACLE_INFO	"This engraving seems to indicate the spot where an object goes."
mo_hell_mainscreen	Tree of the Hanged
mo_hell_vale	Soul Valley
mo_hell_styx	River Styx
mo_hell_item_lemon_hangon	Lemon
mo_hell_lemon	Lemon
mo_hell_item_crow	Injured crow
mo_hell_item_beetle	Beetle
mo_hell_item_hourglass	Hourglass
mo_hell_knife	Knife
hell_item_cane	Piece of walking stick
mo_hell_mainscreen_seth	Seth
mo_hell_hang_zone	The hanged
mo_hell_tartare_zone	Castle
mo_hell_vale_soul_1	Soul in distress
mo_hell_vale_soul_2	Another soul in distress
mo_hell_vale_soul_3	Another soul in distress
mo_hell_item_heart	Heart
mo_hell_item_eyeball	Eye
mo_hell_item_butterfly	Butterfly wing
mo_hell_sling_stick	Stick
mo_hell_smoke	Dark smoke
mo_hell_stone	Stone
mo_hell_sand	Sand
mo_hell_item_clover	Clover
mo_hell_sling_rope	String
mo_hell_charon	Charon the ferryman
mo_hell_door_zone	Door to Hell
inv_hell_sling_armed	Armed slingshot
inv_hell_sling	Slingshot
inv_hell_sling_rope	String
inv_hell_sling_stick	Stick
inv_hell_coin	Gold coin
inv_hell_lemon	Lemon
inv_hell_sand	Sand
inv_hell_item_hourglass_empty	Empty hourglass
inv_hell_item_cane_part	Incomplete walking stick
inv_hell_knife	Knife
inv_hell_stone	Stone
inv_hell_item_cane_full	Walking stick
inv_hell_item_fruit	Rotten lemon
inv_hell_item_butterfly	Butterfly wing
inv_hell_item_hourglass_full	Hourglass
inv_hell_item_crow	Injured crow
inv_hell_item_eyeball	Eyeball
inv_hell_item_beetle	Beetle
inv_hell_item_clover	Four leaf clover
inv_hell_item_heart	Heart
task_hell_foundrichard	Find Richard, brother of Seth
task_hell_leave	Leave Hell by crossing the river Styx!
task_hell_reassureseth	Tell Seth his brother is well
task_hell_savesoul_1	Get objects requested by first soul
task_hell_savesoul_2	get objects requested by second soul
task_hell_savesoul_3	Get objects requested by third soul
HELL_FARDOOR_INFO	"The door to Hell. To reach it, you must first cross the River Styx. That is, if the ferryman will take you..."
HELL_MAINSCREEN_HANG_INFO	Damned souls...
HELL_MAINSCREEN_TARTARE_INFO	Tartarus - those who challenged the Gods are locked up there.
HELL_ASHLEY_ENOUGHSOUL	I should deal with the soul in distress first...
HELL_ASHLEY_ENDSOUL	I've already found Richard. There's no point bothering these souls again!
HELL_SOUL_IWOULDLIKE	"I'd like..."
HELL_SOUL1_GIVE1	"A heart, to remind myself of life before death."
HELL_SOUL1_GIVE2	"Some clover, as I've waited so long for a little luck."
HELL_SOUL1_GIVE3	"A beetle, to imitate crawling as I'm weak and corrupt."
HELL_SOUL2_GIVE1	"An eye, to see what I didn't when I was still able."
HELL_SOUL2_GIVE2	"An injured bird, as I've never had my independence."
HELL_SOUL2_GIVE3	"An hourglass, to time the eternity I'll spend here."
HELL_SOUL3_GIVE1	"A butterfly wing, as an insignificant act can transform the world."
HELL_SOUL3_GIVE2	"A rotten fruit, as my soul wasn't shored up against the brutality of life."
HELL_SOUL3_GIVE3	"A walking stick, as I shall now be forever alone."
HELL_LEMON_INFO	"It's too high."
HELL_SMOKE_INFO	"This foul smoke would rot anything that came in contact with it."
HELL_SOUL4_IMOK	"I'm Richard! Is my brother looking for me? Tell him I am well."
HELL_ASHLEY_NEWSOUL	"(Gasp! While looking for Richard, I disturbed this soul!)

I'm sorry to have bothered you. What can I do for you?"

HELL_ASHLEY_CHARON	"I beg you! Let me cross to return among the living! I should not be here... I must go back!"
HELL_ASHLEY_CHARON2	"What a chill! But at least he believes me, and wants me to pay him... I must find something!"
HELL_ASHLEY_ARRIVAL	This is awful - I've been set up by this demon ghost! I must be strong and keep the faith.
HELL_ASHLEY_EYEBALL	"I can't get it out. I need a tool."
HELL_SOUL_THANKU	Thank you.
HELL_SOUL_MORE	Thank you... give me what I need, I beg you.
HELL_SOUL_DONE	I can suffer in peace now.
HELL_SOUL2_EMPTY	There's no sand in it... I've no use for that!
HELL_SOUL3_ROTEN	This is not rotten.
HELL_SOUL_NOTHKS	No, I don't want that.
HELL_SETH_HELP	"Can you help me find my brother Richard? You will receive a gold coin in exchange for your help."
HELL_SETH_MEET1	"Who are you, lady?"
HELL_ASHLEY_MEETSETH1	"My name is Ashley. Who are you? How do I get out of here?"
HELL_SETH_MEET2	"I am Seth and I welcome you to Hell! If you want to leave, it'll cost you!"
HELL_SETH_HELP	"Can you help me find my brother Richard? I'll give you a gold coin in exchange for your help."
HELL_SETH_THANKS1	"Richard is well? Oh, bless you! Here is a gold coin."
HELL_SETH_THANKS2	"Thank you for finding Richard. Be sure to use this token of gratitude."
HELL_CHARON_PAY	Pay.
HELL_CHARON_NO	No.
HELL_CHARON_COME	Climb aboard.
GLOBAL_TUTO_COMBINEITEM	"This type of object must be combined with another object within the inventory."
GLOBAL_ASHLEY_FINISHED	I'm finished here.
GLOBAL_ASHLEY_NOEFFECT	Nothing happens.
GLOBAL_ASHLEY_NOEFFECT1	It's doing nothing!
GLOBAL_ASHLEY_NOEFFECT2	Nothing happens.
GLOBAL_ASHLEY_NOEFFECT3	Good try, but no use!
GLOBAL_ASHLEY_NOEFFECT4	Good try.
GLOBAL_ASHLEY_NOEFFECT5	What if you tried something else?
GLOBAL_ASHLEY_NOEFFECT6	No, that doesn't work.
GLOBAL_ASHLEY_NOEFFECT7	Original, but of no use here.
GLOBAL_ASHLEY_NOEFFECT8	Nothing happens.
GLOBAL_ASHLEY_FAILED	Gasp! I failed! Try again?
GLOBAL_DOORCLOSED	"It's closed."
inv_switchpieces	Pieces of light switch
inv_vasepieces	Pieces of vase
inv_diningroom_rightwindowkey	Display cabinet key
inv_house_framedining	Picture frame
inv_dining_vase	Vase
inv_dining_page	Torn page
inv_pan	Empty Saucepan
inv_panfull	Full Saucepan
inv_basementkey	Basement key
inv_dining_mast	Boat mast
inv_dining_page	Torn page
inv_dining_treasure	Treasure
inv_dining_vase	Vase
inv_switchrepaired	Repaired switch
inv_statuette_eye	Kapangya eye
inv_statuette_symbol_red	Red stamp
inv_statuette_symbol_blue	Blue stamp
inv_house_basement_bolt	Bolt
inv_house_basement_bulb	Light Bulb
inv_house_basement_grid_charcoal	Charcoal
inv_house_basement_grip	Pruning shears
inv_house_basement_gripbroken	Broken pruning shears
inv_house_basement_hammer	Hammer
inv_house_basement_paper	Paper
inv_house_basement_rag	Rag
inv_house_basement_screwdriver	Screwdriver
inv_house_basement_sketch	Sketch
inv_house_framedining	Frame
inv_house_hook	Hook
inv_house_rope	Rope
inv_house_ropehook	Grapple
inv_house_ropeladder	Ladder
inv_hexagramme_final	Soul pendant
inv_island_pearl	Pearl
inv_island_neckless1	Half a locket
inv_island_neckless2	Half a locket
inv_island_neckless_full	Locket
inv_middleage_cap	Cap
inv_middleage_chervil	Green plant
inv_middleage_cork	Cork
inv_middleage_dill	Green plant
inv_middleage_fennel	Pleasant smelling green plant
inv_middleage_flask_empty	Empty bottle
inv_middleage_flask_full	Bottle containing cure
inv_middleage_garlic	Strong smelling plant
inv_middleage_ginkgo	Branch
inv_middleage_pestle	Pestle
inv_middleage_plate	Plate
inv_middleage_poppy	Red flower
inv_middleage_rue	Yellow flower
inv_middleage_sickle	Sickle
inv_middleage_wood	Piece of wood
inv_middleage_wort	Yellow flower
inv_middleage_contentplate_ready	Preparation
MOUSEOVER_INFO	"Observe"
MOUSEOVER_LOOK	"Look at"
MOUSEOVER_GOTO	"Go to"
MOUSEOVER_BACK	"Back to"
MOUSEOVER_TAKE	"Take"
MOUSEOVER_TALK	"Talk to"
MOUSEOVER_USE	"Use"
MOUSEOVER_ACTION	"Action on"
MOUSEOVER_WALK	"Walk to"
MOUSEOVER_PUZZLE	"Something is missing here"
inv_key	Key
mo_parvis	Entrance
mo_house_out	Street
mo_parvis_doorhandle	Door handle
mo_hall	Hall
mo_house_hall	Hall
mo_corridor	Corridor
mo_firstfloor	Second floor
mo_keyhole	Basement door
mo_basement	Basement
mo_closet	Closet
mo_parvis	Entrance
mo_house_room2	Bedroom
mo_bathroom	Bathroom
mo_house_atticdoor	Door to attic
mo_house_attic	Attic
mo_house_diningroom	Dining room
mo_house_livingroom	Living room
mo_kitchen	Kitchen
mo_stairsdown	Stairs to basement
mo_switchrepaired	Repaired switch 
mo_switchrepaired_on	Switch
hall_switchpieces	Parts of switch
mo_parvis_notice	Notice from the Ghost Militia
mo_rightwindow_closed	Closed window
dining_vasepieces	Pieces of vase
pirate_sit	Murray the pirate ghost
mo_carpet_key	Key to window
mo_boatbroken	Broken model
mo_boatrepaired	Repaired model
mo_boatbrokenbg	Damaged model
mo_boatrepairedbg	Repaired model
mo_boatopenbg	Open model
mo_boatemptybg	Empty model
mo_vase_left	Decorative vase
mo_frame_trace	Mark on wall left by picture frame
mo_frame_dresser	Picture frame
mo_frame_wall	Picture frame
mo_frame_picture_dirty	Stain
mo_hall_clock	Strange clock
mo_hall_books	Library
mo_diningclock_clock	Peculiar clock
mo_diningclock_mastpiece	Boat mast
mo_diningclock_pagepiece	Page 13
mo_diningclock_leftbutton	Mechanism
mo_diningclock_rightbutton	Mechanism
mo_kitchen_faucet	Faucet
mo_kitchen_badpan	Broken saucepans
mo_kitchen_polt	Pesky poltergeist
mo_kitchen_pan	Saucepan
mo_kitchen_water	Water
mo_basement_rag	Rag
mo_house_room2_mirror_repared	Repaired mirror
mo_house_room2_bedclosed	Bedspread
mo_house_room2_mirrorzone	Mirror
mo_house_room2_bedside_closed	Bedside table
mo_house_room2_priest_nobible	Priest without bible
mo_house_room2_priest_bible	Priest
mo_house_room2_priest_underattack	Priest under attack!
mo_house_room2_frag05	Mirror fragment
mo_house_room2_frag06	Mirror fragment
mo_house_room2_frag07	Mirror fragment
mo_house_room2_frag08	Mirror fragment
mo_house_room2_isaac_quiet	Isaac
mo_house_room2_isaac_bible	Bible in Isaac's mouth
mo_island_rock	Rock
mo_island_shark	Dangerous shark
mo_island_coco	Coconuts
mo_safe_close	Chest firmly locked
mo_safe_open	Open chest
mo_parrot_nopearl	Thieving parrot
mo_parrot_pearl	Thieving parrot
mo_woodout	Wooden stick
mo_benitieropen	Clam open!
mo_benitierclose	Clam closed
mo_dive_key	Safe key
mo_dive_pearl	Pearl
mo_island_cave_wood1	Branches
island_beach	The beach
island_cave	The pile of branches
island_creek	The creek
island_dive	The seafloor
island_falaise	The cliff
inca_mainscreen	Temple entrance
inca_passage	Death row
inca_stairs	Staircases
inca_final	Tip of the pyramid
inca_autel	Alter of sacrifice
inca_main_guard_nospear	Guard without spear
inca_main_guard_spear	Guard
inca_main_skyzone	Firey sky
inca_pyramid_zone	Pyramid of sacrifices
inca_main_door	Closed door
inca_main_cubesclosed	Odd stone block
inca_spear	Piece of spear
inv_inca_spearbroken	Incomplete spear
inv_inca_spearrepaired	Repaired spear
inv_inca_statuette	Kapangya
inca_stairs_darkness	Darkness
inca_fresco1_piece	Piece of fresco
inca_fresco2_piece	Piece of fresco
inv_inca_fresco1broken	Incomplete pieces of fresco
inv_inca_fresco2broken	Incomplete pieces of fresco
inv_inca_fresco1repaired	Complete pieces of fresco
inv_inca_fresco2repaired	Complete pieces of fresco
inca_effectraise_zone	Power to elevate
inca_effectearthquake_zone	Power to quake
inca_effectlight_zone	Power to illuminate
inca_effectdark_zone	Power to throw into darkness
inca_passage_blocks_ceiling	Unstable ceiling
inca_passage_blocks_ground	Collapse
inca_cartouche1_ground	Cartridge fallen on the ground
inca_cartouche2_ground	Cartridge fallen on the ground
inv_inca_cartouche1	Cartridge
inv_inca_cartouche2	Cartridge
inca_artefact1	1st great sorrow
inca_artefact2	2nd great sorrow
inca_artefact3	3rd great sorrow
inca_artefact4	4th great sorrow
inv_inca_artefact1	1st great sorrow
inv_inca_artefact2	2nd great sorrow
inv_inca_artefact3	3rd great sorrow
inv_inca_artefact4	4th great sorrow
mo_turn_right	Next page
mo_turn_left	Previous page
mo_spiled_ink	"Spilled ink, not yet dry."
japan_mainscreen	Exterior
japan_garden	Zen garden
japan_bedroom	Bridal suite
mo_japan_bedroomzone	Closed door
mo_japan_gardenzone	Zen garden
mo_bankzone	Bench
mo_japan_leaves_messy	Petals
inv_japan_tablepieces	Fragment of table
inv_japan_kimono2	Part of Kimono
inv_japan_kimono3	Part of Kimono
inv_japan_kimono1	Part of Kimono
inv_japan_tablepieces	Table piece
inv_japan_bentoempty	Empty bento
inv_japan_meal	Meal
inv_japan_bentofull	Full bento
inv_japan_encensfull	Incense holder
inv_japan_encensstick	Incense stick
inv_japan_encensholder	Incomplete incense holder
inv_japan_candlelamp	Oil lamp
inv_japan_leaves	Petals
inv_japan_table	Table
inv_japan_underteapot	Teapot stand
inv_japan_bowl2	Bowl
inv_japan_torchon	Burning torch
inv_japan_torchoff	Extinguished torch
inv_japan_bowl1	Bowl
inv_japan_teapot	Teapot
task_japan_garden	Resolve the enigma of the Zen garden
task_japan_tidy	Redecorate the bridal suite
task_japan_revealbank	Resolve the puzzle of the stone bench
mo_middleage_cloister	Cloister
mo_middleage_jail	Jail
mo_middleage_stairs	Stairs to jail
mo_middleage_mainscreen	Countryside
mo_middleage_plate	Plate
mo_middleage_sickle	Sickle
mo_middleage_oak_zone	Oak
mo_middleage_ginkgo_zone	Tree branches
mo_middleage_rue_zone	Yellow flowers
mo_middleage_aneth_zone	Green plants
mo_middleage_cerfeuil_zone	Green plants
mo_middleage_ail_zone	Odorous flowers
mo_middleage_pavot_zone	Red flowers
mo_middleage_fenouil_zone	Odorous yellow flowers
mo_middleage_millepertuis_zone	Yellow flowers
mo_middleage_witch_wait	Witch
mo_middleage_witch_ask	Witch
mo_middleage_dyingabbot	Dying abbot
task_japan_tidy_hint	"Lie down on the bed in the bridal suite and you will discover the perfection you aspired to. Tidy the room so that each object is as it was in your vision."
task_japan_revealbank_hint	"Natsumi - I can now sense that you and Atsuhito were tremendously in love. Examine the bench beneath the cherry tree - a precious object is no doubt hidden there! But first, you must light the lamps along the path to the bench, and this you must do in a particular order."
inv_house_brushwood_fagot	Tinder wood
inv_house_cordon	Rope
inv_house_statuette_part_skull	Piece of statuette
inv_house_statuette_part_chest	Piece of statuette
inv_house_statuette_part_head1	Piece of statuette
inv_house_statuette_part_head2	Piece of statuette
inv_house_statuette_part_jaw	Piece of statuette
inv_house_statuette_part_legs	Piece of statuette
inv_house_brushwood	Twigs
inv_house_zippo_fluid	Lighter fluid
inv_house_zippo_full	Reloaded lighter
inv_house_zippo_empty	Empty lighter
inv_house_knife	Knife
inv_house_score	Score
mo_house_hall_plant	Dead plant
mo_house_hall_plant_done	Dead plant
mo_house_score	Score
mo_house_statuette_part_head2	Piece of statuette
mo_house_corridor_painting	Painting
mo_house_cordon	String
basement_bulb	Bulb
house_zippo_fluid	Gas
mo_island_sand	Sand
mo_island_crab	Crab
mo_island_berry	Berry
mo_digit	Pearl in the sand
mo_island_cross	Location of the treasure
mo_pearl_sand	Pearl in the sand
mo_parrot	Thieving parrot
mo_island_creek_skeleton	Skeleton
mo_island_rope	Strap
mo_island_blowpipe	Reed
mo_island_map	Treasure map
mo_volcano	Volcano
mo_island_shovelhandle	Shovel handle
mo_island_shovelhead	Shovel head
mo_woodout	Wooden stick
livingroom_book	Book
piano	Piano
chessboard	Chessboard
house_livingroom_ghost	Yumanco
livingroom_poltergeist	Poltergeist
livingroom_book_full	Kapangya Book
livingroom_book_ghost	Mysterious book
livingroom_statuette_ghost	Mysterious statue
livingroom_statuette_full	Kapangya statuette
house_statuette_part_skull	Piece of statuette
house_statuette_part_chest	Piece of statuette
house_statuette_part_legs	Piece of statuette
house_statuette_part_head1	Piece of statuette
house_corridor_drawer_closed	Drawer
house_zippo_empty	Lighter
inv_livingroom_book	Book
inv_livingroom_page	Torn pages
SPIRITISM_SPIRITAREYOU	Spirits... ARE YOU THERE?!

CINEMATIC_ISLAND_PROLOG	""

CINEMATIC_JAPAN_PROLOG	""

CINEMATIC_INCA_PROLOG	""

CINEMATIC_EGYPT_PROLOG	""

CINEMATIC_MIDDLEAGE_PROLOG	""

CINEMATIC_CREDITS	"
AGE OF ENIGMA:
THE SECRET OF THE 6TH GHOST
 
A game by Casual Box

-- Producer --
David Mekersa

-- Assistant Producer & Scriptgirl --
Jennifer d'Alboy

-- Additional Production --
Jean-Christophe Russier

-- Writer --
David Mekersa

-- Co-writer --
Christophe Joubert

-- Lead Artist --
Nicolas Leger

-- Illustrations --
Pamonh Sisouk

-- Music & Sound Design --
The Cleophas Brothers

-- Programming --
David Mekersa
Quentin Gensburger

-- Minigames Programming --
Quentin Gensburger

-- Particle Engine and VFX --
Francois Desruelles

-- English Localization --
Neil Parkinson

-- Proofreading --
Erin Bell
Jean-Marie d'Alboy

-- Developer's Diaries --
Neil Parkinson

-- Additional Programming --
Matthieu Lombard
Rene Pourtier

-- 3D animation --
Guillaume Poitel

-- Voice Acting --
Ed Mace (Nathan)
Shelly Callahan (Ashley)
Yann Cleophas (Yumanco)
Jennifer d'Alboy (Natsumi)
Quentin Gensburger (Murray)
Ahmad Joumblat (Neferes)
Jacques Dumaire (Guilhem)

-- Main Testers --
Aude Langevin
Daniele Ricard
Francine Agasse (Misstick)
Franck Grac
Gaelle Roussel-Gabas
Jean-Marie d'Alboy
Laurence Hart
Liliane Gay (lilypioupiou)
Manra
Patrick Baillard
Perline
Sylvia Guglielmi
Valerie Pourtier

-- Special thanks --
Jean-Marie d'Alboy
Diego Perrot
Jean-Claude Cottier
Emmanuel Marty
Andreas Schneider
James Poag
Lauren Dycus
Tyler Cooper
Abrial Da Costa
Benoit Hozjan
Jean-Noel Aubry
Antoine Calas
"

objective_none	"Explore different areas to discover new objectives"
objective_house_getmap	"Take the key and the plan of the house"
question_house_getmap_how	"Where is the key and the plan of the house?"
answer_house_getmap_how	"The key and plan are in the glove box of the car. Use the car keys to open the glove box."
objective_house_enterhouse	"Enter the house"
question_house_enterhouse_how	"How do I enter the house?"
answer_house_enterhouse_how	"The key to the house is in the glove box, and the key to the glove box in the car's ignition."
objective_house_hall_light	"Turn the light on"
question_house_hall_light_how	"How do I repair the switch?"
answer_house_hall_light_how	"The pieces have fallen on the floor. Pick them up, place the repaired switch on the wall and turn it on."
objective_house_contactyumanco	"Meet the first ghost"
question_house_contactyumanco_where	"Where's Yumanco?"
answer_house_contactyumanco_where	"The first ghost is in the living room."
objective_house_living_book	"Restore the Kapangya book"
question_house_living_book_where	"Where are the book's pages?"
answer_house_living_book_where	"The 6 pages are hidden in the living room. Once you have them, you must place them on the open book on the living room table."
objective_house_living_buildkapangya	"Assemble the Kapangya statuette"
question_house_living_buildkapangya_how	"How do I assemble the statuette?"
answer_house_living_buildkapangya_how	"Place the 6 statuette pieces on the living room table, where you see a transparent statuette. You must follow the order shown in the Kapangya book. There are 5 pieces in the living room, and one on the floor in the corridor."
objective_house_living_buildbase	"Assemble the base of the statuette"
question_house_living_buildbase_fire	"How do I make fire?"
answer_house_living_buildbase_fire	"To make fire you have to light the sticks in the base of the statuette. To light the sticks, obtained in the hallway, you will need to fill the lighter with fluid. Cut the twigs with the knife from the kitchen. The lighter is in the drawer in the hallway and the lighter fluid in the cupboard."
objective_house_living_buildhead	"Assemble the head of the statuette"
question_house_living_buildhead_jaw	"Where do I find the jaw of Kapangya?"
answer_house_living_buildhead_jaw	"The jaw is hidden in the piano in the living room. Drive away the poltergeist that's haunting it and solve the music score puzzle."
question_house_living_buildhead_piano	"How do I play the piano?"
answer_house_living_buildhead_piano	"Place the music score found on the shelves in the hallway on the piano. Play the notes in the order indicated, using the 4 areas of the keyboard, from the lowest on the left to the highest on the right."
question_house_living_buildhead_eye	"Where do I find Kapangya's eye?"
answer_house_living_buildhead_eye	"Solve the mini-game on the box at Yumanco's feet in the living room."
objective_house_living_4powers	"Activate Kapangya's 4 powers"
question_house_living_4powers_how	"How do I activate a power?"
answer_house_living_4powers_how	"Select 2 symbols by pressing the medallions on the statuette's belly, then press its eye."
question_house_living_4powers_next	"Which power do I  activate next?"
answer_house_living_4powers_next	"To know which power to activate, you must speak with the ghost. It will tell you which 2 symbols to select on the statuette's belly. The dragon is the red symbol, and the eye is the blue one."
objective_house_helpnatsumi	"Help the ghost called Natsumi"
question_house_helpnatsumi_where	"Where do I find Natsumi?"
answer_house_helpnatsumi_where	"Natsumi is in the cellar, the door to which you will find in the corridor. Yumanco will give you the key to the cellar."
question_house_helpnatsumi_what	"What does Natsumi want?"
answer_house_helpnatsumi_what	"Natsumi wants a piece of paper and some charcoal."
question_house_helpnatsumi_nextpaper	"Where do I find the next object?"
answer_house_helpnatsumi_nextpaper	"You'll find a piece of paper in the vase in the cellar. Break the vase with the hammer, which you will also find in the cellar in the toolbox."
question_house_helpnatsumi_nextcharcoal	"Where do I find the next object?"
answer_house_helpnatsumi_nextcharcoal	"The charcoal is in the coal bucket. Knock the bucket over and take the piece of coal that falls on the grate in the middle of the room."
objective_house_basementlight	"Turn on the light in the cellar"
question_house_basementlight_how	"How do I turn on the light?"
